# PRN        X (m)              Y (m)              Z (m)
G 5    -24872266.841      6969821.441      6711133.401
G 5     -3951383.098    -15180248.445    -21307077.691
G 5     17309157.925    -12862396.379     15107954.145
G 5      7667763.047     23327088.166      9737495.644
G 5      5975501.608     25251631.796      5054308.983
G 6     16677136.177     20589910.357      1663521.754
G 6    -10928212.645     11565906.160    -21368477.797
G 6    -16203024.936      8210903.267    -19504221.797
G 6    -16604019.100    -10892476.536     17795300.797
G 6     20389053.640    -16934262.182      1905036.772
G 6      8262122.151     16009073.391    -19390790.613
G 6    -11091809.442     15858350.244     18040766.300
G 6    -16424080.921    -20846873.170       786302.716
G 6     16804131.840     -7803855.042    -19161391.882
G 6     15968654.617     11140465.152     18217091.882
G 6    -20617410.833     16721770.360      1145297.294
G 6     -7915445.177    -16524655.114    -19099279.244
G 7      6284562.036    -24610969.873     -7121170.228
G 7     14817177.280      4836209.249     21311248.853
G 7      2486986.414     21569969.767    -15340305.727
G 7    -25035713.444     -6936490.619     -6342988.619
G 7      4363443.338    -15031709.531     21651878.255
G 7     21818255.109     -3293063.892    -14740127.909
G 7     -6706363.654     24734902.963     -6247259.863
G 7    -14816761.412     -5645791.087     21114217.894
G 7    -14209182.348    -16758511.038     14717223.364
G 7     -1905827.038    -21163903.528    -15982659.504
G 7     25129607.625      7333292.530     -5472362.073
G 7     -5162083.087     15039032.444     21467761.746
G 8    -18022655.313    -11947915.400    -14586363.308
G 8      3728341.625    -14695948.419     21705458.734
G 8     25393426.469      5138228.364     -7419997.110
G 8    -11503521.622     18733126.414    -15743633.336
G 8    -16205790.378      -387186.372     21166032.461
G 8      3791875.011    -25280805.822     -5632363.288
G 8     18100422.442     12533491.589    -13992233.333
G 8     -4336078.028     14388443.260     21807492.156
G 8    -25081239.580     -5434523.969     -8247604.386
G 8     12153915.053    -18844774.522    -15102816.166
G 8     15834946.533      1200421.213     21402216.610
G 8      8705452.667     15246567.126     19812990.077
G 8     -4077325.003     25048836.613     -6391168.108
G 9     20954938.890    -16261381.074      1056502.808
G 9     13008746.916      6755600.637     22116082.653
G 9      6639426.020     17490060.408     18814041.351
G 9     -6901291.000     23130099.887    -11036398.719
G 9    -18145860.675    -16009382.077    -10968261.762
G 9      7282307.517    -12752301.599     22163470.447
G 9     23046870.037      6953503.916    -11267772.230
G 9    -16096063.055     18165031.909    -10768903.897
G 9    -12547650.744     -7589294.460     22111978.865
G 9      7168013.535    -22703024.621    -11732124.693
G 9     18133603.308     16483066.490    -10265580.529
G 9     -8005583.064     12349663.150     22142148.163
G 9    -22614120.679     -7218484.905    -11955971.321
G 0     26340492.043     -3177332.224      2710535.190
G 0      -520587.935     17632600.622    -19952124.265
G 0    -17806951.397     19601238.964      2131231.530
G 0    -18443110.597      8817046.098     16899956.620
G 0     -3127371.980    -26143758.597      2540629.994
G 0     17935255.926      1579914.844    -19431776.504
G 0      7776724.805     18386731.868     17578390.248
G 0    -26431407.121      2904980.907      2054643.484
G 0      1222490.746    -17933575.686    -19648825.118
G 0     18300248.138     -8040707.408     17430658.252
