# PRN        X (m)              Y (m)              Z (m)
C 3      1036024.469     40891278.627     -2752960.167
C 3      5115173.519     32552884.856    -12371492.355
C 3      7300282.162     18212635.953    -21434965.575
C 3      6993804.027      1916281.458    -29054607.633
C 3      4266525.106    -11828313.627    -34430112.233
C 3      -168631.894    -19253931.396    -36960579.741
C 3     -5138437.834    -18315722.924    -36335638.611
C 3     -9308875.387     -9249163.439    -32601119.390
C 3    -11543167.836      5456104.209    -26174930.770
C 3    -11224233.878     21724631.585    -17784893.703
C 3     -8433082.747     35043805.876     -8329843.291
C 3     -3919499.522     41717739.430      1288311.215
C 3      1112568.747     39839622.229     10300961.996
C 3      5328317.297     29758853.546     18142651.142
C 3      7609470.245     13992740.078     24459676.346
C 3      7351447.427     -3391457.182     29080146.033
C 3      4636269.049    -17825108.402     31965248.633
C 3       217492.431    -25483031.120     33151346.555
C 4    -15947341.015     -8631201.914     22127087.061
C 4    -19374215.493    -21455351.521     17506308.094
C 4    -23095883.521    -23347576.428      9351064.780
C 4    -24823869.666    -13728112.177      -448152.928
C 4    -22801510.718      1945839.579     -9902743.168
C 4    -25367945.753      8511449.073     -9226928.605
C 4    -16814987.975     15003886.900    -17232929.719
C 4     -8363952.128     18223142.275    -21101987.073
C 4        86715.371      9649462.439    -20717058.923
C 4      6285686.107     -6374204.107    -15937207.597
C 4      9277425.435    -21439902.280     -7470979.430
C 4      9839271.881    -27611366.855      3068995.407
C 4      9939522.877    -21659171.035     13390066.546
C 4     11542692.605     -6672769.206     20944758.061
C 4     15447316.972      9591944.087     23587739.905
C 4     18807262.581    -22730602.632    -15864527.217
C 4     20784414.624     18915496.813     20332539.382
C 4     25445456.283     17049466.395     11771430.755
C 4     27155350.553      5853121.826         -854.765
C 4     24664893.117     -7765319.211    -11874015.253
C 4     18471460.383    -15609455.728    -20626376.817
C 4     10580353.500    -12731687.802    -23953880.241
C 4      3471118.155      -124424.344    -21108892.286
C 4     -1106525.104     15742266.742    -13037868.175
C 4     -2967173.802     26333789.971     -2053750.724
C 4     -3509009.313     25750568.469      8958723.773
C 5      8180411.196    -13109898.631    -12646217.342
C 5     10159810.599     -1030547.851    -16541612.017
C 5     -7679198.510      9616795.700     20447810.449
C 5     -7349230.297      -677859.332     21248781.084
C 5     16338856.784    -26036786.017    -15116473.587
C 5      7329258.524    -20496523.655    -17110064.742
C 6    -17111608.142     38239590.718      -683810.736
C 6    -15888893.955     40060820.289      1950383.822
C 6    -12473631.151     41437843.292      8255474.231
C 6     -8021856.600     35754852.046     16646166.751
C 6     -4943847.173     22695287.696     23919367.845
C 6     -4059553.106      5757285.726     29568592.167
C 6     -5595392.459    -10494577.760     33195397.374
C 6     -9122458.274    -21678923.602     34548551.465
C 6    -13680366.180    -24797145.820     33541867.808
C 6    -18043324.501    -19027435.270     30249338.062
C 6    -21045867.257     -5921215.558     24889939.164
C 6    -21885407.646     11008945.405     17814587.599
C 6    -20334382.727     27202366.024      9495435.739
C 6    -16809226.896     38265348.052       505946.789
C 6    -12266458.084     41184426.450     -8519411.775
C 6     -7943086.281     35173336.279    -16943002.942
C 6     -5015901.381     21879022.390    -24181885.833
C 6     -4283154.625      4902891.777    -29748691.247
C 6     -5954627.713    -11183582.529    -33273247.486
C 6     -9595409.160    -22048988.320    -34516168.411
C 6    -14234526.045    -24750764.814    -33385464.639
C 6    -18619673.674    -18543327.600    -29954024.053
C 6    -21559681.713     -5103249.406    -24464351.657
C 6    -22256875.708     11930346.995    -17309120.430
C 6    -20525312.560     27969559.189     -8990548.384
C 8      7340061.984    -36534231.673     -4225649.002
C 8      7339437.343    -38504421.323     -4432314.754
C 8      7336975.947    -40130888.970     -4583287.200
C 8      7333050.125    -41266127.857     -4668281.342
C 8      7328378.471    -41835049.000     -4681507.469
C 8      7324046.718    -41837572.140     -4622060.425
