# Time (min)   PRN   dX (m)   dY (m)   dZ (m)   3D Error (m)   dClk (m)
# ----------------------------------------------------------------------
         300   G30   -0.8509    1.1120    0.4026         1.4569    659.1065
         300   G31   -0.3597    0.3871   -0.0045         0.5285     29.5487
         300   G32   -0.6475   -0.8485   -0.4668         1.1649   8986.7970
         330   G01   -0.8345    0.2099   -0.6947         1.1059   1323.0058
         330   G02    0.4072   -1.8050    0.6351         1.9563   2897.4863
         330   G03   -1.4399   -0.2411   -2.8044         3.1617     10.6796
         330   G05    0.3324   -0.2091   -0.5364         0.6648      2.3836
         330   G06    0.5073    0.8543   -0.3138         1.0419   1149.0489
         330   G08   -1.4169   -0.6273    0.1669         1.5585    100.5754
         330   G09   -1.6360    0.0338    0.7334         1.7932    308.0247
         330   G10    2.3766   -1.3895   -0.2260         2.7622   7863.5828
         330   G11   -1.2381    0.4404   -0.9225         1.6056   2093.0799
         330   G12   -0.2299   -0.6583    0.6236         0.9355   5428.9059
         330   G13    1.2443    0.5142   -1.1847         1.7934      1.0058
         330   G14   -1.5094   -0.9042    0.5757         1.8513    891.8603
         330   G15    0.0288   -0.3141    0.1945         0.3706   6040.1686
         330   G16   -0.9208   -0.5144    1.3734         1.7317     27.2372
         330   G17    0.0170   -0.0632    0.2934         0.3006   8719.3031
         330   G18   -0.5657    3.0230   -0.9476         3.2181   7029.6623
         330   G19   -1.0597    0.4945   -0.7831         1.4074   6426.2834
         330   G20    0.3692   -1.3227   -0.8607         1.6207   5611.5283
         330   G21   -0.4034   -1.5858   -0.0773         1.6381     44.7486
         330   G22   -0.0164   -0.2524   -0.1489         0.2935   3632.2232
         330   G23   -0.4862   -1.2863   -0.2161         1.3920   6852.4065
         330   G24    0.7479   -0.4862   -0.8848         1.2564     73.2681
         330   G25   -0.1786   -0.8340    1.5847         1.7996      6.8724
         330   G26   -1.2217   -0.2182    0.5189         1.3452    670.5021
         330   G27   -1.4718    0.0486   -0.6896         1.6261   2052.2830
         330   G28    0.0144    0.9440   -0.9915         1.3691   3530.4984
         330   G29   -0.0812    0.2274    0.1950         0.3103    834.5793
         330   G30   -0.7444    0.9931    0.5011         1.3385    659.1296
         330   G31   -0.9600    0.7709    0.5781         1.3602     90.2826
         330   G32   -0.7527   -0.7798   -0.5037         1.1951   3733.1321
         360   G01   -0.7724    0.0555   -0.8212         1.1288   1323.9997
         360   G02    0.3736   -1.2750    0.8790         1.5931   2897.5427
         360   G03   -1.0515   -0.6043   -3.0406         3.2735     10.8166
         360   G05    0.6415   -0.1195   -0.5212         0.8351      2.3968
